2020-07-28-17_50_10,Lat,34.994606,Lon,-105.864937
2020-07-28-17_50_11,Lat,34.994648,Lon,-105.864777
2020-07-28-17_50_12,Lat,34.994640,Lon,-105.864647
2020-07-28-17_50_13,Lat,34.994637,Lon,-105.864502
2020-07-28-17_50_14,Lat,34.994644,Lon,-105.864357
2020-07-28-17_50_15,Lat,34.994694,Lon,-105.864174
2020-07-28-17_50_16,Lat,34.994717,Lon,-105.864021
2020-07-28-17_50_17,Lat,34.994743,Lon,-105.863861
2020-07-28-17_50_18,Lat,34.994781,Lon,-105.863708
2020-07-28-17_50_19,Lat,34.994816,Lon,-105.863548
2020-07-28-17_50_20,Lat,34.994850,Lon,-105.863411
2020-07-28-17_50_21,Lat,34.994881,Lon,-105.863243
2020-07-28-17_50_22,Lat,34.994919,Lon,-105.863106
2020-07-28-17_50_23,Lat,34.994957,Lon,-105.862946
2020-07-28-17_50_25,Lat,34.994999,Lon,-105.862816
2020-07-28-17_50_26,Lat,34.995045,Lon,-105.862679
2020-07-28-17_50_27,Lat,34.995083,Lon,-105.862556
2020-07-28-17_50_28,Lat,34.995094,Lon,-105.862419
2020-07-28-17_50_30,Lat,34.995132,Lon,-105.862312
2020-07-28-17_50_31,Lat,34.995159,Lon,-105.862183
2020-07-28-17_50_32,Lat,34.995197,Lon,-105.862053
2020-07-28-17_50_34,Lat,34.995232,Lon,-105.861946
2020-07-28-17_50_35,Lat,34.995258,Lon,-105.861832
2020-07-28-17_50_36,Lat,34.995304,Lon,-105.861694
2020-07-28-17_50_37,Lat,34.995323,Lon,-105.861572
2020-07-28-17_50_39,Lat,34.995354,Lon,-105.861443
2020-07-28-17_50_40,Lat,34.995392,Lon,-105.861305
2020-07-28-17_50_41,Lat,34.995415,Lon,-105.861191
2020-07-28-17_50_42,Lat,34.995453,Lon,-105.861053
2020-07-28-17_50_44,Lat,34.995491,Lon,-105.860909
2020-07-28-17_50_45,Lat,34.995514,Lon,-105.860809
2020-07-28-17_50_46,Lat,34.995533,Lon,-105.860695
2020-07-28-17_50_47,Lat,34.995552,Lon,-105.860558
2020-07-28-17_50_49,Lat,34.995583,Lon,-105.860466
2020-07-28-17_50_50,Lat,34.995586,Lon,-105.860344
2020-07-28-17_50_51,Lat,34.995605,Lon,-105.860222
2020-07-28-17_50_53,Lat,34.995613,Lon,-105.860107
2020-07-28-17_50_54,Lat,34.995621,Lon,-105.859985
2020-07-28-17_50_55,Lat,34.995617,Lon,-105.859856
2020-07-28-17_50_56,Lat,34.995625,Lon,-105.859741
2020-07-28-17_50_58,Lat,34.995613,Lon,-105.859604
2020-07-28-17_50_59,Lat,34.995625,Lon,-105.859474
2020-07-28-17_51_00,Lat,34.995640,Lon,-105.859367
2020-07-28-17_51_01,Lat,34.995632,Lon,-105.859253
2020-07-28-17_51_03,Lat,34.995647,Lon,-105.859123
2020-07-28-17_51_04,Lat,34.995663,Lon,-105.859024
2020-07-28-17_51_05,Lat,34.995667,Lon,-105.858910
2020-07-28-17_51_07,Lat,34.995689,Lon,-105.858795
2020-07-28-17_51_08,Lat,34.995701,Lon,-105.858696
2020-07-28-17_51_09,Lat,34.995705,Lon,-105.858589
2020-07-28-17_51_10,Lat,34.995701,Lon,-105.858475
2020-07-28-17_51_12,Lat,34.995697,Lon,-105.858353
2020-07-28-17_51_13,Lat,34.995716,Lon,-105.858246
2020-07-28-17_51_14,Lat,34.995728,Lon,-105.858162
2020-07-28-17_51_15,Lat,34.995716,Lon,-105.858055
2020-07-28-17_51_17,Lat,34.995720,Lon,-105.857948
2020-07-28-17_51_18,Lat,34.995724,Lon,-105.857872
2020-07-28-17_51_19,Lat,34.995712,Lon,-105.857742
2020-07-28-17_51_21,Lat,34.995724,Lon,-105.857620
2020-07-28-17_51_22,Lat,34.995720,Lon,-105.857513
2020-07-28-17_51_23,Lat,34.995712,Lon,-105.857407
2020-07-28-17_51_24,Lat,34.995735,Lon,-105.857307
2020-07-28-17_51_26,Lat,34.995724,Lon,-105.857208
2020-07-28-17_51_27,Lat,34.995750,Lon,-105.857132
2020-07-28-17_51_28,Lat,34.995731,Lon,-105.857040
2020-07-28-17_51_29,Lat,34.995750,Lon,-105.856926
2020-07-28-17_51_31,Lat,34.995766,Lon,-105.856834
2020-07-28-17_51_32,Lat,34.995754,Lon,-105.856712
2020-07-28-17_51_33,Lat,34.995770,Lon,-105.856621
2020-07-28-17_51_35,Lat,34.995762,Lon,-105.856529
2020-07-28-17_51_36,Lat,34.995781,Lon,-105.856400
2020-07-28-17_51_37,Lat,34.995781,Lon,-105.856308
2020-07-28-17_51_38,Lat,34.995777,Lon,-105.856194
2020-07-28-17_51_40,Lat,34.995773,Lon,-105.856102
2020-07-28-17_51_41,Lat,34.995762,Lon,-105.855972
2020-07-28-17_51_42,Lat,34.995777,Lon,-105.855873
2020-07-28-17_51_43,Lat,34.995766,Lon,-105.855743
2020-07-28-17_51_45,Lat,34.995758,Lon,-105.855637
2020-07-28-17_51_46,Lat,34.995739,Lon,-105.855522
2020-07-28-17_51_47,Lat,34.995735,Lon,-105.855408
2020-07-28-17_51_48,Lat,34.995708,Lon,-105.855309
2020-07-28-17_51_50,Lat,34.995701,Lon,-105.855171
2020-07-28-17_51_51,Lat,34.995678,Lon,-105.855080
2020-07-28-17_51_52,Lat,34.995674,Lon,-105.854950
2020-07-28-17_51_54,Lat,34.995663,Lon,-105.854851
2020-07-28-17_51_55,Lat,34.995647,Lon,-105.854736
2020-07-28-17_51_56,Lat,34.995632,Lon,-105.854668
2020-07-28-17_51_57,Lat,34.995609,Lon,-105.854546
2020-07-28-17_51_59,Lat,34.995605,Lon,-105.854431
2020-07-28-17_52_00,Lat,34.995594,Lon,-105.854324
2020-07-28-17_52_01,Lat,34.995579,Lon,-105.854187
2020-07-28-17_52_02,Lat,34.995579,Lon,-105.854057
2020-07-28-17_52_04,Lat,34.995567,Lon,-105.853966
2020-07-28-17_52_05,Lat,34.995564,Lon,-105.853836
2020-07-28-17_52_06,Lat,34.995586,Lon,-105.853722
2020-07-28-17_52_08,Lat,34.995583,Lon,-105.853661
2020-07-28-17_52_09,Lat,34.995567,Lon,-105.853569
2020-07-28-17_52_10,Lat,34.995567,Lon,-105.853470
2020-07-28-17_52_11,Lat,34.995579,Lon,-105.853371
2020-07-28-17_52_13,Lat,34.995579,Lon,-105.853279
2020-07-28-17_52_14,Lat,34.995571,Lon,-105.853149
2020-07-28-17_52_15,Lat,34.995590,Lon,-105.853043
2020-07-28-17_52_16,Lat,34.995590,Lon,-105.852951
2020-07-28-17_52_18,Lat,34.995583,Lon,-105.852852
2020-07-28-17_52_19,Lat,34.995594,Lon,-105.852722
2020-07-28-17_52_20,Lat,34.995609,Lon,-105.852623
2020-07-28-17_52_22,Lat,34.995617,Lon,-105.852524
2020-07-28-17_52_23,Lat,34.995602,Lon,-105.852455
2020-07-28-17_52_24,Lat,34.995609,Lon,-105.852333
2020-07-28-17_52_25,Lat,34.995647,Lon,-105.852234
2020-07-28-17_52_27,Lat,34.995655,Lon,-105.852165
2020-07-28-17_52_28,Lat,34.995674,Lon,-105.852036
2020-07-28-17_52_29,Lat,34.995686,Lon,-105.851944
2020-07-28-17_52_30,Lat,34.995693,Lon,-105.851852
2020-07-28-17_52_32,Lat,34.995697,Lon,-105.851730
2020-07-28-17_52_33,Lat,34.995728,Lon,-105.851624
2020-07-28-17_52_34,Lat,34.995735,Lon,-105.851555
2020-07-28-17_52_36,Lat,34.995739,Lon,-105.851433
2020-07-28-17_52_37,Lat,34.995747,Lon,-105.851364
2020-07-28-17_52_38,Lat,34.995747,Lon,-105.851265
2020-07-28-17_52_39,Lat,34.995762,Lon,-105.851181
